Results Table 1,,,
,,,
,,,
Results Table 2,,,
,,,
,,,
1,Time,Displacement,Force
,(s),(mm),(N)
,0,0.0001,-0.0501
,0.02,0.0004,-0.0294
,0.04,0.0017,0.0201
,0.06,0.0066,0.0853
,0.08,0.0143,0.0965
,0.1,0.0226,0.0654
,0.12,0.031,0.0222
,0.14,0.0381,0.0335
,0.16,0.0448,0.0811
,0.18,0.0509,0.1105
,0.2,0.057,0.1221
,0.22,0.0629,0.1405
,0.24,0.0687,0.1565
,0.26,0.0748,0.1558
,0.28,0.0811,0.1545
,0.3,0.0871,0.1952
,0.32,0.0935,0.2351
,0.34,0.1007,0.2449
,0.36,0.1075,0.217
,0.38,0.1147,0.2291
,0.4,0.1208,0.2626
,0.42,0.1268,0.286
,0.44,0.1334,0.2857
,0.46,0.1401,0.2961
,0.48,0.1468,0.332
,0.5,0.1536,0.3376
,0.52,0.16,0.3233
,0.54,0.167,0.3342
,0.56,0.1737,0.3581
,0.58,0.1801,0.3796
,0.6,0.1866,0.412
,0.62,0.1932,0.4265
,0.64,0.1999,0.431
,0.66,0.2068,0.4151
,0.68,0.213,0.4195
,0.7,0.2192,0.4477
,0.72,0.2261,0.459
,0.74,0.2332,0.4571
,0.76,0.24,0.48
,0.78,0.2462,0.4932
,0.8,0.2527,0.4972
,0.82,0.2599,0.5015
,0.84,0.2667,0.5087
,0.86,0.2736,0.5213
,0.88,0.2808,0.5353
,0.9,0.2876,0.5373
,0.92,0.2942,0.5351
,0.94,0.3,0.5407
,0.96,0.3058,0.5787
,0.98,0.3128,0.5938
,1,0.32,0.5863
,1.02,0.3268,0.5922
,1.04,0.3333,0.6032
,1.06,0.3397,0.5905
,1.08,0.3465,0.5939
,1.1,0.3531,0.6078
,1.12,0.3593,0.6143
,1.14,0.3663,0.6346
,1.16,0.3734,0.6504
,1.18,0.3805,0.6567
,1.2,0.3872,0.6478
,1.22,0.3934,0.6518
,1.24,0.4002,0.6801
,1.26,0.407,0.6776
,1.28,0.4131,0.6711
,1.3,0.4197,0.6989
,1.32,0.4264,0.7128
,1.34,0.4333,0.7263
,1.36,0.4405,0.7283
,1.38,0.447,0.7137
,1.4,0.4536,0.7155
,1.42,0.4604,0.7229
,1.44,0.4665,0.7345
,1.46,0.473,0.7376
,1.48,0.4795,0.7511
,1.5,0.4864,0.7689
,1.52,0.4939,0.7807
,1.54,0.5006,0.7496
,1.56,0.5069,0.7565
,1.58,0.5129,0.7782
,1.6,0.5191,0.7869
,1.62,0.5259,0.7961
,1.64,0.533,0.8031
,1.66,0.5397,0.8034
,1.68,0.5468,0.8149
,1.7,0.5534,0.8167
,1.72,0.5598,0.8048
,1.74,0.5661,0.8116
,1.76,0.5724,0.8271
,1.78,0.5796,0.8358
,1.8,0.5871,0.8324
,1.82,0.5936,0.823
,1.84,0.6003,0.8262
,1.86,0.6068,0.8498
,1.88,0.6136,0.8719
,1.9,0.6203,0.8538
,1.92,0.6265,0.8546
,1.94,0.6333,0.8755
,1.96,0.6405,0.8755
,1.98,0.647,0.8834
,2,0.6536,0.8811
,2.02,0.6602,0.8879
,2.04,0.6672,0.8951
,2.06,0.6743,0.8917
,2.08,0.6802,0.876
,2.1,0.6862,0.8869
,2.12,0.6927,0.9206
,2.14,0.6993,0.9335
,2.16,0.7064,0.9347
,2.18,0.7131,0.9191
,2.2,0.7199,0.9158
,2.22,0.7267,0.9175
,2.24,0.7331,0.9222
,2.26,0.7396,0.9317
,2.28,0.7468,0.9466
,2.3,0.754,0.9447
,2.32,0.7612,0.9428
,2.34,0.7677,0.9296
,2.36,0.7739,0.947
,2.38,0.7806,0.9548
,2.4,0.7868,0.9516
,2.42,0.7933,0.9595
,2.44,0.8002,0.9641
,2.46,0.8067,0.964
,2.48,0.8134,0.9582
,2.5,0.82,0.9601
,2.52,0.8263,0.9727
,2.54,0.833,0.9841
,2.56,0.8396,0.9704
,2.58,0.8462,0.9702
,2.6,0.8531,0.9809
,2.62,0.8595,0.975
,2.64,0.866,0.9761
,2.66,0.873,0.9956
,2.68,0.8799,1.001
,2.7,0.8867,1.0023
,2.72,0.893,0.987
,2.74,0.8991,0.976
,2.76,0.9058,0.9829
,2.78,0.9126,0.9987
,2.8,0.9196,1.02
,2.82,0.9269,1.0184
,2.84,0.9339,0.9965
,2.86,0.9405,0.9934
,2.88,0.9465,0.9954
,2.9,0.9525,0.9958
,2.92,0.9595,1.007
,2.94,0.9667,1.0155
,2.96,0.9735,1.0212
,2.98,0.9801,1.0165
,3,0.9866,1.0146
,3.02,0.9934,1.0147
,3.04,0.9999,1.0076
,3.06,1.006,1.0103
,3.08,1.0128,1.0344
,3.1,1.0198,1.0454
,3.12,1.0268,1.036
,3.14,1.0336,1.0389
,3.16,1.0401,1.0411
,3.18,1.0469,1.0382
,3.2,1.0537,1.0384
,3.22,1.0602,1.0317
,3.24,1.0671,1.0299
,3.26,1.0737,1.0172
,3.28,1.0803,1.0319
,3.3,1.0873,1.0487
,3.32,1.0938,1.0381
,3.34,1.1006,1.0467
,3.36,1.1072,1.0415
,3.38,1.1131,1.0438
,3.4,1.1194,1.0591
,3.42,1.126,1.0718
,3.44,1.1327,1.0581
,3.46,1.1401,1.0401
,3.48,1.1472,1.0279
,3.5,1.1536,1.0367
,3.52,1.16,1.0481
,3.54,1.1659,1.0468
,3.56,1.1726,1.0634
,3.58,1.1798,1.048
,3.6,1.1865,1.0428
,3.62,1.1934,1.0348
,3.64,1.2001,1.0323
,3.66,1.2065,1.0565
,3.68,1.2129,1.0657
,3.7,1.219,1.0676
,3.72,1.226,1.0592
,3.74,1.2334,1.0379
,3.76,1.2401,1.0361
,3.78,1.2469,1.0479
,3.8,1.2535,1.0373
,3.82,1.2602,1.0454
,3.84,1.267,1.0566
,3.86,1.2732,1.0608
,3.88,1.2796,1.059
,3.9,1.2867,1.063
,3.92,1.2933,1.0475
,3.94,1.2998,1.0512
,3.96,1.3065,1.0574
,3.98,1.3133,1.0611
,4,1.3203,1.0435
,4.02,1.3263,1.0296
,4.04,1.3325,1.0615
,4.06,1.3396,1.0692
,4.08,1.3465,1.0559
,4.1,1.3536,1.0511
,4.12,1.3603,1.0415
,4.14,1.3669,1.0424
,4.16,1.3735,1.0435
,4.18,1.3795,1.0318
,4.2,1.3857,1.0397
,4.22,1.3926,1.046
,4.24,1.3996,1.0603
,4.26,1.4067,1.0708
,4.28,1.4135,1.0421
,4.3,1.4198,1.0328
,4.32,1.4265,1.0475
,4.34,1.4331,1.0684
,4.36,1.4398,1.0743
,4.38,1.4468,1.0706
,4.4,1.4534,1.0572
,4.42,1.4602,1.0702
,4.44,1.467,1.0888
,4.46,1.4733,1.0701
,4.48,1.4799,1.0471
,4.5,1.4865,1.0434
,4.52,1.4932,1.0473
,4.54,1.5001,1.0622
,4.56,1.5061,1.0439
,4.58,1.5123,1.0375
,4.6,1.5192,1.0328
,4.62,1.5261,1.0464
,4.64,1.533,1.0621
,4.66,1.5395,1.0507
,4.68,1.5458,1.0337
,4.7,1.5529,1.0432
,4.72,1.56,1.0619
,4.74,1.5671,1.0651
,4.76,1.5745,1.0395
,4.78,1.5814,1.0276
,4.8,1.5879,1.0445
,4.82,1.5936,1.063
,4.84,1.5994,1.0511
,4.86,1.6061,1.0521
,4.88,1.6131,1.0462
,4.9,1.6199,1.0364
,4.92,1.6266,1.0551
,4.94,1.6331,1.0587
,4.96,1.6399,1.0567
,4.98,1.6464,1.0537
,5,1.6527,1.041
,5.02,1.6599,1.039
,5.04,1.6671,1.0466
,5.06,1.6739,1.059
,5.08,1.6805,1.0576
,5.1,1.6867,1.0303
,5.12,1.6934,1.0352
,5.14,1.7002,1.0367
,5.16,1.7066,1.0409
,5.18,1.7134,1.0519
,5.2,1.7203,1.0519
,5.22,1.727,1.0484
,5.24,1.7338,1.0491
,5.26,1.7404,1.0424
,5.28,1.7471,1.0356
,5.3,1.7537,1.0294
,5.32,1.7598,1.0283
,5.34,1.7664,1.0421
,5.36,1.7731,1.0566
,5.38,1.7799,1.0581
,5.4,1.7873,1.041
,5.42,1.794,1.0161
,5.44,1.8001,1.013
,5.46,1.8061,1.0177
,5.48,1.8122,1.0264
,5.5,1.8189,1.0465
,5.52,1.8262,1.0464
,5.54,1.8329,1.0376
,5.56,1.8401,1.0154
,5.58,1.8468,1.0014
,5.6,1.8532,1.0163
,5.62,1.8597,1.0372
,5.64,1.8659,1.0262
,5.66,1.8728,1.0172
,5.68,1.8801,1.0165
,5.7,1.8869,1.0185
