Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","-0.0616"
"","0.0200","0.0003","0.0582"
"","0.0400","0.0010","0.0942"
"","0.0600","0.0020","0.0344"
"","0.0800","0.0038","-0.0201"
"","0.1000","0.0069","0.0162"
"","0.1200","0.0125","0.0998"
"","0.1400","0.0200","0.0774"
"","0.1600","0.0269","-0.0209"
"","0.1800","0.0336","0.0104"
"","0.2000","0.0402","0.1259"
"","0.2200","0.0471","0.1964"
"","0.2400","0.0536","0.1606"
"","0.2600","0.0596","0.1216"
"","0.2800","0.0656","0.1451"
"","0.3000","0.0715","0.1874"
"","0.3200","0.0775","0.2336"
"","0.3400","0.0841","0.2380"
"","0.3600","0.0905","0.2020"
"","0.3800","0.0971","0.2167"
"","0.4000","0.1041","0.2797"
"","0.4200","0.1107","0.3238"
"","0.4400","0.1173","0.2884"
"","0.4600","0.1238","0.2618"
"","0.4800","0.1303","0.3187"
"","0.5000","0.1377","0.4086"
"","0.5200","0.1448","0.3907"
"","0.5400","0.1515","0.3231"
"","0.5600","0.1584","0.3435"
"","0.5800","0.1652","0.4210"
"","0.6000","0.1722","0.4798"
"","0.6200","0.1789","0.4392"
"","0.6400","0.1852","0.3959"
"","0.6600","0.1920","0.4573"
"","0.6800","0.1988","0.5229"
"","0.7000","0.2054","0.5009"
"","0.7200","0.2121","0.4405"
"","0.7400","0.2188","0.4777"
"","0.7600","0.2259","0.5589"
"","0.7800","0.2326","0.5733"
"","0.8000","0.2388","0.5330"
"","0.8200","0.2454","0.5339"
"","0.8400","0.2522","0.5879"
"","0.8600","0.2592","0.6167"
"","0.8800","0.2662","0.5835"
"","0.9000","0.2729","0.5781"
"","0.9200","0.2794","0.6221"
"","0.9400","0.2857","0.6309"
"","0.9600","0.2917","0.6319"
"","0.9800","0.2986","0.6777"
"","1.0000","0.3058","0.7152"
"","1.0200","0.3128","0.6871"
"","1.0400","0.3197","0.6454"
"","1.0600","0.3261","0.6953"
"","1.0800","0.3326","0.7727"
"","1.1000","0.3392","0.7418"
"","1.1200","0.3456","0.6708"
"","1.1400","0.3525","0.7255"
"","1.1600","0.3594","0.8339"
"","1.1800","0.3659","0.7996"
"","1.2000","0.3727","0.7103"
"","1.2200","0.3791","0.7388"
"","1.2400","0.3854","0.8830"
"","1.2600","0.3921","0.9057"
"","1.2800","0.3985","0.7944"
"","1.3000","0.4054","0.7845"
"","1.3200","0.4124","0.8836"
"","1.3400","0.4186","0.9013"
"","1.3600","0.4253","0.8239"
"","1.3800","0.4321","0.8181"
"","1.4000","0.4390","0.9189"
"","1.4200","0.4457","0.9515"
"","1.4400","0.4519","0.8933"
"","1.4600","0.4584","0.8852"
"","1.4800","0.4655","0.9459"
"","1.5000","0.4722","0.9921"
"","1.5200","0.4793","0.9611"
"","1.5400","0.4862","0.9136"
"","1.5600","0.4929","0.9426"
"","1.5800","0.4993","0.9897"
"","1.6000","0.5052","1.0027"
"","1.6200","0.5119","0.9915"
"","1.6400","0.5194","0.9991"
"","1.6600","0.5264","1.0164"
"","1.6800","0.5332","1.0361"
"","1.7000","0.5397","1.0297"
"","1.7200","0.5463","1.0194"
"","1.7400","0.5530","1.0570"
"","1.7600","0.5590","1.0788"
"","1.7800","0.5655","1.0892"
"","1.8000","0.5726","1.0885"
"","1.8200","0.5792","1.0746"
"","1.8400","0.5860","1.1001"
"","1.8600","0.5925","1.1071"
"","1.8800","0.5989","1.0841"
"","1.9000","0.6058","1.0907"
"","1.9200","0.6125","1.1201"
"","1.9400","0.6190","1.1192"
"","1.9600","0.6258","1.1131"
"","1.9800","0.6323","1.1454"
"","2.0000","0.6393","1.1886"
"","2.0200","0.6461","1.1695"
"","2.0400","0.6526","1.1413"
"","2.0600","0.6596","1.1768"
"","2.0800","0.6662","1.2019"
"","2.1000","0.6727","1.1981"
"","2.1200","0.6790","1.1812"
"","2.1400","0.6850","1.2083"
"","2.1600","0.6918","1.2357"
"","2.1800","0.6991","1.2293"
"","2.2000","0.7059","1.2172"
"","2.2200","0.7124","1.2186"
"","2.2400","0.7185","1.2009"
"","2.2600","0.7247","1.2190"
"","2.2800","0.7319","1.2936"
