Results Table 1,,,
,,,
,,,
Results Table 2,,,
,,,
,,,
1,Time,Displacement,Force
,(s),(mm),(N)
,0,0,0.0393
,0.02,0.0004,-0.0202
,0.04,0.0015,-0.0388
,0.06,0.0056,0.0204
,0.08,0.0143,0.1082
,0.1,0.0251,0.0776
,0.12,0.0352,0.0163
,0.14,0.0429,0.005
,0.16,0.0491,0.0757
,0.18,0.054,0.1524
,0.2,0.0588,0.1529
,0.22,0.0638,0.1251
,0.24,0.0691,0.1235
,0.26,0.0749,0.1749
,0.28,0.0811,0.1735
,0.3,0.087,0.1119
,0.32,0.0929,0.0551
,0.34,0.0996,0.0806
,0.36,0.1065,0.1902
,0.38,0.1131,0.2523
,0.4,0.1195,0.2364
,0.42,0.1258,0.2027
,0.44,0.1324,0.2623
,0.46,0.1392,0.3214
,0.48,0.1456,0.2958
,0.5,0.1522,0.2002
,0.52,0.1588,0.1652
,0.54,0.1651,0.2222
,0.56,0.172,0.2884
,0.58,0.1787,0.2803
,0.6,0.1854,0.2811
,0.62,0.1923,0.3193
,0.64,0.1988,0.3956
,0.66,0.2053,0.4395
,0.68,0.2117,0.4022
,0.7,0.2181,0.3483
,0.72,0.2254,0.3535
,0.74,0.2329,0.3695
,0.76,0.2397,0.358
,0.78,0.2458,0.3251
,0.8,0.2517,0.3398
,0.82,0.2584,0.3995
,0.84,0.2653,0.4742
,0.86,0.2715,0.4951
,0.88,0.2786,0.4445
,0.9,0.286,0.416
,0.92,0.293,0.4422
,0.94,0.2996,0.4711
,0.96,0.3057,0.4659
,0.98,0.3124,0.4532
,1,0.3196,0.4618
,1.02,0.3261,0.5129
,1.04,0.3327,0.5534
,1.06,0.3394,0.5406
,1.08,0.3462,0.5247
,1.1,0.3528,0.5399
,1.12,0.3588,0.563
,1.14,0.3653,0.5771
,1.16,0.3722,0.5615
,1.18,0.3785,0.5389
,1.2,0.3849,0.5824
,1.22,0.3917,0.6315
,1.24,0.3987,0.6503
,1.26,0.406,0.6223
,1.28,0.4125,0.588
,1.3,0.4187,0.6228
,1.32,0.4254,0.6578
,1.34,0.4319,0.6662
,1.36,0.4387,0.6585
,1.38,0.4455,0.6505
,1.4,0.4523,0.6719
,1.42,0.4591,0.7019
,1.44,0.4654,0.7112
