Results Table 1,,,
,,,
,,,
Results Table 2,,,
,,,
,,,
1,Time,Displacement,Force
,(s),(mm),(N)
,0,0,0.1544
,0.02,0.0003,0.1106
,0.04,0.0009,-0.1898
,0.06,0.0019,-0.2684
,0.08,0.0041,0.024
,0.1,0.0083,0.2925
,0.12,0.0152,0.1572
,0.14,0.0209,-0.1548
,0.16,0.0265,-0.1287
,0.18,0.0326,0.1361
,0.2,0.0389,0.225
,0.22,0.0455,0.0811
,0.24,0.0521,-0.023
,0.26,0.0591,0.091
,0.28,0.0668,0.2374
,0.3,0.0737,0.1881
,0.32,0.0799,0.0788
,0.34,0.087,0.1065
,0.36,0.0943,0.2371
,0.38,0.1014,0.2685
,0.4,0.1078,0.1835
,0.42,0.1142,0.1565
,0.44,0.1211,0.2556
,0.46,0.1277,0.3285
,0.48,0.1339,0.3032
,0.5,0.1407,0.2442
,0.52,0.148,0.2876
,0.54,0.1551,0.3832
,0.56,0.1611,0.3703
,0.58,0.1666,0.2872
,0.6,0.1725,0.2949
,0.62,0.1791,0.4018
,0.64,0.1858,0.439
,0.66,0.1929,0.3924
,0.68,0.2003,0.3785
,0.7,0.2076,0.439
,0.72,0.2144,0.4653
,0.74,0.2207,0.4217
,0.76,0.2274,0.42
,0.78,0.2344,0.4642
,0.8,0.2411,0.4923
,0.82,0.2479,0.5015
,0.84,0.2544,0.5116
,0.86,0.2609,0.5259
,0.88,0.2677,0.5225
,0.9,0.2741,0.538
,0.92,0.2808,0.5958
,0.94,0.2877,0.5969
,0.96,0.294,0.5417
,0.98,0.301,0.5582
,1,0.3081,0.6291
,1.02,0.3151,0.6601
,1.04,0.322,0.6111
,1.06,0.3285,0.5945
,1.08,0.3352,0.6849
,1.1,0.3414,0.7211
,1.12,0.3474,0.6297
,1.14,0.3542,0.6113
,1.16,0.3616,0.7365
,1.18,0.3685,0.7729
,1.2,0.3748,0.6559
,1.22,0.3809,0.6139
,1.24,0.3876,0.7544
,1.26,0.3948,0.8317
,1.28,0.4013,0.7125
,1.3,0.4084,0.6635
,1.32,0.416,0.768
,1.34,0.4232,0.8454
,1.36,0.4294,0.7748
,1.38,0.4354,0.7187
,1.4,0.442,0.7987
,1.42,0.4492,0.8607
,1.44,0.4553,0.8233
,1.46,0.4612,0.8049
,1.48,0.4677,0.8505
