Results Table 1,,,
,,,
,,,
Results Table 2,,,
,,,
,,,
1,Time,Displacement,Force
,(s),(mm),(N)
,0,0,0.0506
,0.02,0.0004,-0.0032
,0.04,0.0016,-0.0286
,0.06,0.0059,0.0388
,0.08,0.0157,0.121
,0.1,0.0276,0.1421
,0.12,0.0382,0.1075
,0.14,0.0449,0.0548
,0.16,0.05,0.0823
,0.18,0.0545,0.1691
,0.2,0.0588,0.223
,0.22,0.0633,0.2143
,0.24,0.0685,0.1953
,0.26,0.0738,0.2312
,0.28,0.0795,0.3006
,0.3,0.0859,0.3441
,0.32,0.0926,0.3064
,0.34,0.0994,0.28
,0.36,0.1067,0.3263
,0.38,0.1132,0.3802
,0.4,0.1194,0.3902
,0.42,0.1263,0.3693
,0.44,0.133,0.3754
,0.46,0.1396,0.457
,0.48,0.1461,0.5049
,0.5,0.1521,0.4812
,0.52,0.1588,0.46
,0.54,0.1657,0.4844
,0.56,0.1724,0.5668
,0.58,0.1796,0.586
,0.6,0.1867,0.5297
,0.62,0.1936,0.5259
,0.64,0.1997,0.587
,0.66,0.2053,0.6454
,0.68,0.2117,0.6591
,0.7,0.2187,0.6307
,0.72,0.2255,0.636
,0.74,0.2325,0.6789
,0.76,0.239,0.7033
,0.78,0.2457,0.7067
,0.8,0.2525,0.7084
,0.82,0.2587,0.7145
,0.84,0.2653,0.7534
,0.86,0.2722,0.7843
,0.88,0.2792,0.7871
,0.9,0.2863,0.7929
,0.92,0.2927,0.8098
,0.94,0.2992,0.8274
,0.96,0.306,0.8511
,0.98,0.3124,0.8509
,1,0.319,0.867
,1.02,0.3258,0.8887
,1.04,0.3324,0.903
,1.06,0.3395,0.9314
,1.08,0.3464,0.9253
,1.1,0.3532,0.9406
,1.12,0.36,0.9615
,1.14,0.3662,0.9756
,1.16,0.3726,0.9996
,1.18,0.3791,1.0007
,1.2,0.3856,1.0053
,1.22,0.3927,1.0384
,1.24,0.3998,1.0565
,1.26,0.4063,1.0502
,1.28,0.4126,1.0506
,1.3,0.4186,1.069
,1.32,0.425,1.0927
,1.34,0.432,1.118
,1.36,0.4386,1.1187
,1.38,0.4456,1.1211
,1.4,0.4527,1.126
,1.42,0.4594,1.1479
,1.44,0.4659,1.1743
,1.46,0.4722,1.1754
,1.48,0.479,1.1755
,1.5,0.4863,1.1961
,1.52,0.4929,1.2575
,1.54,0.4997,1.261
,1.56,0.5063,1.2083
,1.58,0.5129,1.2097
,1.6,0.5196,1.3256
,1.62,0.526,1.3448
,1.64,0.5326,1.2153
,1.66,0.5397,1.156
,1.68,0.5463,1.3235
,1.7,0.5528,1.4692
,1.72,0.5594,1.3309
,1.74,0.5661,1.1548
,1.76,0.5732,1.2957
,1.78,0.5795,1.5557
,1.8,0.5855,1.5017
,1.82,0.5921,1.2207
,1.84,0.5987,1.1976
,1.86,0.6058,1.4927
,1.88,0.6129,1.6063
,1.9,0.6197,1.3922
,1.92,0.6264,1.2157
,1.94,0.6328,1.3885
,1.96,0.6389,1.6279
,1.98,0.6458,1.5793
,2,0.6527,1.3643
,2.02,0.6599,1.3462
,2.04,0.6668,1.532
,2.06,0.673,1.6428
,2.08,0.6795,1.5334
,2.1,0.686,1.4123
,2.12,0.6925,1.4679
,2.14,0.6993,1.5991
,2.16,0.7058,1.6354
,2.18,0.7126,1.5573
,2.2,0.7197,1.492
,2.22,0.7262,1.556
,2.24,0.7326,1.6598
,2.26,0.739,1.6443
,2.28,0.7455,1.5741
,2.3,0.7524,1.5589
,2.32,0.7588,1.6091
,2.34,0.7651,1.6526
,2.36,0.7718,1.6516
,2.38,0.7788,1.6339
,2.4,0.7858,1.651
,2.42,0.7923,1.6545
,2.44,0.7983,1.6646
,2.46,0.8049,1.7001
,2.48,0.8118,1.7127
,2.5,0.8185,1.6967
,2.52,0.8257,1.6966
,2.54,0.8328,1.707
,2.56,0.8398,1.7463
,2.58,0.8461,1.748
,2.6,0.852,1.7107
,2.62,0.8585,1.7229
,2.64,0.8657,1.7774
,2.66,0.8727,1.8018
,2.68,0.8796,1.7666
,2.7,0.886,1.7208
,2.72,0.8923,1.7695
,2.74,0.8988,1.8288
,2.76,0.9048,1.7981
,2.78,0.9115,1.7618
,2.8,0.9188,1.7852
,2.82,0.9259,1.8496
,2.84,0.9331,1.8685
,2.86,0.9396,1.8102
,2.88,0.9461,1.796
,2.9,0.9529,1.8475
,2.92,0.9593,1.8986
,2.94,0.966,1.9004
,2.96,0.9728,1.855
,2.98,0.9792,1.8409
,3,0.9863,1.8792
,3.02,0.993,1.8965
,3.04,0.9995,1.8843
,3.06,1.0063,1.8845
,3.08,1.0127,1.9144
,3.1,1.0193,1.9405
,3.12,1.026,1.9403
,3.14,1.0328,1.9153
,3.16,1.0405,1.9266
,3.18,1.0478,1.9558
,3.2,1.0542,1.9692
,3.22,1.0604,1.9434
,3.24,1.0661,1.92
,3.26,1.0723,1.9649
,3.28,1.079,2.0121
,3.3,1.0854,1.9979
,3.32,1.0921,1.9577
,3.34,1.0989,1.9451
,3.36,1.1055,1.9931
,3.38,1.1121,2.0437
,3.4,1.1185,2.0191
,3.42,1.1254,1.9867
,3.44,1.1331,2.0161
,3.46,1.1399,2.0324
,3.48,1.1465,2.0573
,3.5,1.1531,2.0375
,3.52,1.1597,2.0198
,3.54,1.1664,2.0578
,3.56,1.1726,2.103
,3.58,1.1788,2.0822
,3.6,1.1859,2.0324
,3.62,1.1926,2.022
,3.64,1.1989,2.1024
,3.66,1.2052,2.1371
,3.68,1.2119,2.0811
,3.7,1.219,2.0502
,3.72,1.2255,2.101
,3.74,1.2316,2.1644
,3.76,1.2384,2.1295
,3.78,1.2453,2.0634
,3.8,1.2525,2.0937
,3.82,1.2598,2.1633
,3.84,1.2664,2.1451
,3.86,1.2731,2.0972
,3.88,1.2795,2.1186
,3.9,1.2857,2.1526
,3.92,1.2924,2.1705
,3.94,1.2993,2.1422
,3.96,1.3066,2.1437
,3.98,1.3136,2.158
,4,1.3198,2.1602
,4.02,1.3262,2.1588
,4.04,1.3327,2.1684
,4.06,1.3392,2.1764
,4.08,1.346,2.2146
,4.1,1.3527,2.1977
,4.12,1.3595,2.1617
,4.14,1.3665,2.171
,4.16,1.373,2.2243
,4.18,1.3794,2.2305
,4.2,1.3859,2.1903
,4.22,1.3924,2.177
,4.24,1.3992,2.2466
,4.26,1.4056,2.2304
,4.28,1.4118,2.1575
,4.3,1.4186,2.1672
,4.32,1.4257,2.2799
,4.34,1.4328,2.3225
,4.36,1.4396,2.2112
,4.38,1.4458,2.1631
,4.4,1.4527,2.2665
,4.42,1.4596,2.3166
,4.44,1.4663,2.2259
,4.46,1.4734,2.1767
,4.48,1.4805,2.273
,4.5,1.4874,2.3465
,4.52,1.4934,2.2447
,4.54,1.499,2.144
,4.56,1.5054,2.2326
,4.58,1.5125,2.3577
,4.6,1.5194,2.3185
,4.62,1.5263,2.1843
,4.64,1.5327,2.1856
,4.66,1.5394,2.2982
,4.68,1.5462,2.3361
,4.7,1.5525,2.2742
,4.72,1.5592,2.2239
,4.74,1.5664,2.244
,4.76,1.5733,2.308
,4.78,1.5803,2.3555
,4.8,1.5866,2.2943
,4.82,1.593,2.2084
,4.84,1.5997,2.235
,4.86,1.6059,2.3369
,4.88,1.6121,2.3766
,4.9,1.6187,2.2883
,4.92,1.6254,2.2052
,4.94,1.6326,2.2999
,4.96,1.6394,2.3887
,4.98,1.6462,2.3489
,5,1.6534,2.2731
,5.02,1.6598,2.2593
,5.04,1.666,2.3194
,5.06,1.6723,2.3528
,5.08,1.6786,2.3194
,5.1,1.6859,2.3169
,5.12,1.6934,2.2931
,5.14,1.6998,2.2833
,5.16,1.7059,2.3295
,5.18,1.712,2.3622
,5.2,1.7183,2.3287
,5.22,1.7252,2.2795
,5.24,1.7319,2.303
,5.26,1.7388,2.3829
,5.28,1.7459,2.3639
,5.3,1.7526,2.2779
,5.32,1.7592,2.2839
,5.34,1.7655,2.3767
,5.36,1.7722,2.4303
,5.38,1.7797,2.3631
,5.4,1.7865,2.2947
,5.42,1.7933,2.3371
,5.44,1.8,2.381
,5.46,1.8066,2.3436
,5.48,1.8131,2.3105
,5.5,1.8194,2.3333
,5.52,1.8256,2.3852
,5.54,1.8327,2.3635
,5.56,1.8396,2.2954
,5.58,1.8463,2.3149
,5.6,1.8531,2.3905
,5.62,1.86,2.4125
,5.64,1.8672,2.3425
,5.66,1.8735,2.292
,5.68,1.8794,2.3633
,5.7,1.886,2.4142
,5.72,1.8926,2.349
,5.74,1.8994,2.2967
,5.76,1.9062,2.3501
,5.78,1.9129,2.4252
,5.8,1.9196,2.4022
,5.82,1.926,2.2969
,5.84,1.9322,2.2975
,5.86,1.939,2.3958
,5.88,1.9461,2.4216
,5.9,1.9533,2.333
,5.92,1.9604,2.2724
,5.94,1.9667,2.3364
,5.96,1.9732,2.4154
,5.98,1.9795,2.3795
,6,1.9859,2.2949
,6.02,1.9927,2.3336
,6.04,1.9993,2.4318
,6.06,2.0059,2.4127
,6.08,2.0128,2.3113
,6.1,2.0192,2.2894
,6.12,2.0258,2.3836
,6.14,2.0326,2.43
,6.16,2.0391,2.3408
,6.18,2.046,2.2635
,6.2,2.0526,2.3159
,6.22,2.059,2.3963
,6.24,2.0657,2.3794
,6.26,2.0724,2.3086
,6.28,2.0791,2.3063
,6.3,2.0856,2.3626
,6.32,2.0917,2.3786
,6.34,2.0982,2.3568
,6.36,2.1051,2.3133
,6.38,2.1117,2.3064
,6.4,2.1192,2.3454
,6.42,2.1266,2.3709
,6.44,2.1336,2.3357
,6.46,2.1399,2.2818
,6.48,2.1456,2.2763
,6.5,2.152,2.3442
,6.52,2.1592,2.3852
,6.54,2.1661,2.3116
,6.56,2.1727,2.258
,6.58,2.1791,2.2956
,6.6,2.1858,2.3646
,6.62,2.1927,2.3617
,6.64,2.1987,2.2722
,6.66,2.2053,2.2599
,6.68,2.2123,2.3362
,6.7,2.2191,2.3928
,6.72,2.226,2.3222
,6.74,2.2326,2.2307
,6.76,2.2392,2.2711
,6.78,2.2461,2.3647
,6.8,2.2528,2.3488
,6.82,2.2596,2.2536
,6.84,2.2664,2.2387
,6.86,2.2729,2.3315
,6.88,2.28,2.3512
,6.9,2.2866,2.2586
,6.92,2.293,2.2274
,6.94,2.2997,2.3058
,6.96,2.3059,2.358
,6.98,2.312,2.2906
,7,2.3186,2.2285
,7.02,2.3251,2.2583
,7.04,2.3323,2.3318
,7.06,2.3397,2.2898
,7.08,2.3464,2.2016
,7.1,2.3528,2.189
,7.12,2.3589,2.28
,7.14,2.3652,2.3451
,7.16,2.3721,2.3022
,7.18,2.3787,2.2071
,7.2,2.3854,2.2111
,7.22,2.3924,2.2828
,7.24,2.3989,2.2855
,7.26,2.4053,2.1966
,7.28,2.4116,2.1595
,7.3,2.4181,2.2524
,7.32,2.4256,2.3269
,7.34,2.4325,2.2522
,7.36,2.4393,2.1628
,7.38,2.4463,2.164
,7.4,2.4532,2.2324
,7.42,2.46,2.2393
,7.44,2.4662,2.1817
,7.46,2.4724,2.1802
,7.48,2.4794,2.2249
,7.5,2.4863,2.2299
,7.52,2.4926,2.1859
,7.54,2.499,2.1692
,7.56,2.5058,2.184
,7.58,2.513,2.2052
,7.6,2.5196,2.1825
,7.62,2.5255,2.1409
,7.64,2.5322,2.1573
,7.66,2.5391,2.1737
,7.68,2.5461,2.1623
,7.7,2.5531,2.1478
,7.72,2.5598,2.1424
,7.74,2.5664,2.1467
,7.76,2.5728,2.1487
,7.78,2.5787,2.1236
,7.8,2.5851,2.1196
,7.82,2.5919,2.1293
,7.84,2.599,2.1611
,7.86,2.6063,2.1744
,7.88,2.6127,2.113
,7.9,2.6193,2.064
,7.92,2.626,2.1163
,7.94,2.6325,2.189
,7.96,2.6395,2.1577
,7.98,2.6463,2.0446
,8,2.6529,2.048
,8.02,2.6597,2.1839
,8.04,2.666,2.1952
,8.06,2.6723,2.0299
,8.08,2.679,1.9553
,8.1,2.6856,2.1187
,8.12,2.6924,2.2364
,8.14,2.6991,2.0577
,8.16,2.7054,1.8889
,8.18,2.7122,2.0324
,8.2,2.719,2.2345
,8.22,2.7258,2.1187
,8.24,2.7326,1.8709
,8.26,2.7388,1.9183
,8.28,2.7455,2.1576
,8.3,2.7526,2.1592
,8.32,2.7593,1.9278
,8.34,2.7665,1.8827
,8.36,2.7736,2.0708
,8.38,2.7804,2.1536
,8.4,2.7866,1.9996
,8.42,2.7923,1.899
,8.44,2.7987,1.9706
,8.46,2.8056,2.0781
,8.48,2.8124,2.058
,8.5,2.8194,1.9489
,8.52,2.8261,1.9123
,8.54,2.8328,1.9767
,8.56,2.8396,2.0168
,8.58,2.8457,1.98
,8.6,2.8523,1.9398
,8.62,2.8595,1.9482
,8.64,2.8664,1.9641
,8.66,2.8732,1.9652
,8.68,2.8795,1.9198
,8.7,2.8859,1.9068
,8.72,2.8927,1.9316
,8.74,2.8993,1.9244
,8.76,2.9058,1.8969
,8.78,2.9127,1.8993
,8.8,2.9194,1.9247
,8.82,2.9265,1.9142
,8.84,2.9332,1.8436
,8.86,2.9397,1.8498
,8.88,2.9466,1.9168
,8.9,2.9529,1.9075
,8.92,2.959,1.8352
,8.94,2.9656,1.8262
,8.96,2.9721,1.9012
,8.98,2.9793,1.9264
,9,2.9866,1.8444
,9.02,2.993,1.7858
,9.04,2.9993,1.8306
,9.06,3.0055,1.8866
,9.08,3.012,1.872
,9.1,3.019,1.7978
,9.12,3.0257,1.7807
,9.14,3.0324,1.863
,9.16,3.0393,1.9007
,9.18,3.0459,1.78
,9.2,3.0525,1.6916
,9.22,3.0589,1.7809
,9.24,3.0656,1.9304
,9.26,3.073,1.8476
,9.28,3.08,1.6346
,9.3,3.0866,1.6609
,9.32,3.0931,1.9014
,9.34,3.0996,1.9329
,9.36,3.1064,1.6518
,9.38,3.1128,1.5301
,9.4,3.1191,1.7866
,9.42,3.126,2.0024
,9.44,3.1327,1.7842
,9.46,3.1392,1.4896
,9.48,3.1458,1.6231
,9.5,3.1525,1.9559
,9.52,3.1597,1.9186
,9.54,3.1664,1.5539
,9.56,3.1723,1.4574
,9.58,3.1787,1.7434
,9.6,3.1854,1.9216
,9.62,3.1924,1.7465
,9.64,3.1994,1.5088
,9.66,3.206,1.5732
,9.68,3.2128,1.8013
,9.7,3.2193,1.8147
,9.72,3.2254,1.6213
,9.74,3.2321,1.5302
,9.76,3.2393,1.6331
,9.78,3.2464,1.7652
,9.8,3.2534,1.7343
,9.82,3.2595,1.5802
,9.84,3.2659,1.5231
,9.86,3.2725,1.6228
,9.88,3.2789,1.6929
,9.9,3.2859,1.6359
,9.92,3.2928,1.5532
,9.94,3.2996,1.5821
,9.96,3.3066,1.6406
,9.98,3.3129,1.6125
,10,3.3191,1.5624
,10.02,3.3258,1.5826
,10.04,3.3323,1.6128
,10.06,3.3391,1.5671
,10.08,3.3459,1.5398
,10.1,3.3521,1.5764
