Results Table 1,,,
,,,
,,,
Results Table 2,,,
,,,
,,,
1,Time,Displacement,Force
,(s),(mm),(N)
,0,0.0001,-0.0054
,0.02,0.0003,-0.0889
,0.04,0.0015,0.0441
,0.06,0.0052,0.2671
,0.08,0.0129,0.2459
,0.1,0.0231,-0.0186
,0.12,0.0345,-0.0996
,0.14,0.0444,0.1749
,0.16,0.0509,0.403
,0.18,0.0559,0.1994
,0.2,0.0603,-0.0567
,0.22,0.0646,0.1182
,0.24,0.0693,0.4385
,0.26,0.074,0.3937
,0.28,0.0788,0.1005
,0.3,0.0842,0.0593
,0.32,0.0911,0.3748
,0.34,0.0987,0.5315
,0.36,0.1065,0.3173
,0.38,0.1138,0.1464
,0.4,0.1206,0.3054
,0.42,0.1272,0.4962
,0.44,0.1332,0.4469
,0.46,0.1391,0.2955
,0.48,0.1458,0.3254
,0.5,0.1522,0.4555
,0.52,0.1589,0.4658
,0.54,0.1655,0.4084
,0.56,0.1718,0.4366
,0.58,0.1786,0.5249
,0.6,0.1855,0.5065
,0.62,0.1919,0.4445
,0.64,0.1987,0.4857
,0.66,0.2052,0.5832
,0.68,0.2118,0.6077
,0.7,0.2187,0.515
,0.72,0.2253,0.4531
,0.74,0.2321,0.5544
,0.76,0.2389,0.6937
,0.78,0.2451,0.6422
,0.8,0.2517,0.4826
,0.82,0.2581,0.4983
,0.84,0.2647,0.7146
,0.86,0.2722,0.8135
,0.88,0.2791,0.6335
,0.9,0.2853,0.4734
,0.92,0.2914,0.5819
,0.94,0.2974,0.7911
,0.96,0.3042,0.7961
,0.98,0.3113,0.6511
,1,0.318,0.602
,1.02,0.3251,0.7143
,1.04,0.3319,0.8139
,1.06,0.3384,0.7922
,1.08,0.3447,0.6965
,1.1,0.3509,0.6606
,1.12,0.3576,0.7617
,1.14,0.3647,0.867
,1.16,0.3715,0.8448
,1.18,0.3783,0.763
,1.2,0.3849,0.7435
,1.22,0.3917,0.799
,1.24,0.3986,0.8573
,1.26,0.4049,0.8705
,1.28,0.4115,0.8675
,1.3,0.4186,0.8209
,1.32,0.4251,0.776
,1.34,0.4317,0.8652
,1.36,0.4384,0.9707
,1.38,0.4454,0.9286
,1.4,0.4525,0.8034
,1.42,0.4584,0.836
,1.44,0.4648,1.0176
,1.46,0.4714,1.0194
,1.48,0.4782,0.8656
,1.5,0.4853,0.8291
,1.52,0.492,0.9967
,1.54,0.4986,1.0621
,1.56,0.5052,0.9223
,1.58,0.5112,0.8396
,1.6,0.5174,0.9837
,1.62,0.5243,1.0932
,1.64,0.5314,1.0095
,1.66,0.539,0.9357
,1.68,0.5457,1.0075
,1.7,0.5521,1.0882
,1.72,0.5588,1.0458
,1.74,0.5652,0.9678
,1.76,0.5719,1.0174
,1.78,0.5788,1.0971
,1.8,0.5852,1.0751
,1.82,0.5921,1.0265
,1.84,0.5987,1.0236
,1.86,0.605,1.0861
,1.88,0.6116,1.1281
,1.9,0.6182,1.1071
,1.92,0.6248,1.0566
,1.94,0.6316,1.0592
,1.96,0.638,1.1215
,1.98,0.6446,1.1582
,2,0.6516,1.1189
